company,file_category,language,original_filename,hashed_filename
lbg,visual_documents,EN,2022-lbg-code-of-ethics-and-responsibility_en.pdf,3a159a430743ca9e952b8e3bf59e4ea6.pdf
bpce,visual_documents,EN,2e-Actu-DRF-2009_02-eng_en.pdf,7c5c7bd6067fca7e24583c4ea258173b.pdf
bpce,visual_documents,EN,BPCE_URD-2020_2nd-Amendement_EN-.pdf,1452f3dcef1b12c1c9c903c74d32d667.pdf
bpce,visual_documents,EN,Groupe-BPCE_H1-2018-results_ENG.pdf,5dd481f5ab2e63e28d691b8827f2d311.pdf
bpce,visual_documents,EN,Groupe-BPCE_19022014-results_en.pdf,20f3244e8e7fd7b139442127d82f8a0e.pdf
bpce,visual_documents,EN,gbpce-20240410-sff-en-1_en.pdf,efc02671cd8a67208e40452a72a07df5.pdf
bpce,visual_documents,EN,Groupe-BPCE_results-2017-Q4-2017_ENG.pdf,2b8b5e62f399619a4e71acd312faacaa.pdf
bpce,visual_documents,EN,Amendement_URD-30-septembre-2020_EN.pdf,2a0987fb89a918d0153a597acb66726a.pdf
bpce,visual_documents,EN,Second-amendment-to-Universal-Registration-Document_en.pdf,7f81e5ff9bd39e573a8df8207c3ca055.pdf
bpce,visual_documents,EN,Groupe_BPCE_Q4-12_results_FV_en.pdf,2c7f1c381087590c045a53ca9d3283b9.pdf
bpce,visual_documents,EN,plaquette-nf-eng-5_en.pdf,8a6ab1088111399d39a3f46a2d2a3edc.pdf
bpce,visual_documents,EN,res_semes_bpce_2009_en.pdf,eea3eae24d8b47f7a7f72be12118d187.pdf
bpce,visual_documents,EN,TCFD_RapportClimat2022_EN-01-1.pdf,ef3a35894f4f593158d1db751720cc44.pdf
bpce,visual_documents,EN,Third-update-of-the-2016-Groupe-BPCE-registration-document_EN.pdf,0ad843fd7202e583d5e86b54f9bb770d.pdf
bpce,visual_documents,EN,Groupe_BPCE_Q3-19_results_ENG.pdf,5d5a475780da91d67299a1c1eb007ea8.pdf
bpce,visual_documents,EN,Groupe-BCPE-T1-16_English.pdf,3c6abc42772f8f88dbf5379f1a632788.pdf
bpce,visual_documents,EN,Slides_Results_Groupe_BPCE_Q2-22_ENG.pdf,69c8604c6055e3e13c2fd5171fef88a5.pdf
bpce,visual_documents,EN,Groupe-BPCE_results-Q1-2018_ENG.pdf,cdbca3bc37f9783284e721373bbe858a.pdf
bpce,visual_documents,EN,bpce-investor-presentation-q4-24-5_en.pdf,c908a0258fb5c8d80eeb7fa629025873.pdf
bpce,visual_documents,EN,Groupe-BPCE_2018-results_ENG.pdf,5177ed7286de0be2804fb9d00815b68f.pdf
bpce,visual_documents,EN,BPCE_URD-2021_1st-Amendment_EN-.pdf,f9af823c8a82b73fdc495440c0ee3f04.pdf
bpce,visual_documents,EN,res_bpce_2009_en.pdf,07487d5dac5ad11d9ca7a9136ef6287b.pdf
bpce,visual_documents,EN,Groupe_BPCE_Q2-19_results_ENG.pdf,907f5aec4ab85e759243298e7b7b5084.pdf
bpce,visual_documents,EN,gbpce-20240410-gff-en-1.pdf,a89a42c7feef19530c043f7d01e7b90e.pdf
bpce,visual_documents,EN,GroupeBPCE_Q1-19results_ENG.pdf,a96f6471d37d899bb351c5cd03a63074.pdf
bpce,visual_documents,EN,slideshow_annual_results_2009_en.pdf,3eb186138f9768d4f96ad36eb50e2239.pdf
bpce,visual_documents,EN,bce-bpce2023-urd-en-mel-240415.pdf,c21f94db21bda253610e328052ebc8c3.pdf
bpce,visual_documents,EN,Groupe_BPCE_Q4-19_results_ENG-1.pdf,9cfe19add87f35f7dcfbe70be6e149c4.pdf
bpce,visual_documents,EN,slideshow_group_project_2010_en.pdf,7b0c31458f39a8af1f8c6f61f3521518.pdf
db,visual_documents,EN,Working_capital_finance__the_future_ENG.pdf,f8a8bf0fa15e8160c97f6397b4211db5.pdf
db,visual_documents,EN,DB_Tomorrows-Treasury_WP_Web-Secured_en.pdf,6c7ea4a922ed08a52805774fec62a71e.pdf
db,visual_documents,EN,Deutsche_Bank_white_paper_Metaverse_Next-e-commerce-revolution_10_2022_en.pdf,0a5f97a43e108f63369f5eca51986ae8.pdf
db,visual_documents,EN,11-SDD-Sustainability-Journey-Presentation_en.pdf,8110c0488afa07f451b63d38cb8f9341.pdf
db,visual_documents,EN,6-SDD-Sustainability-Journey-Presentation_en.pdf,bc343e0cd90ce0efd66f3984d174ed2d.pdf
